广东酒店,#genre#

--- 端口 8086 ---


--- 端口 202 ---


--- 端口 8081 ---


--- 端口 8888 ---

广东组播,#genre#
广东卫视,http://113.65.124.131:9527/rtp/239.77.0.84:5146
广东卫视,http://113.65.124.131:9527/rtp/239.77.0.166:5146
广东卫视,http://113.65.124.131:9527/rtp/239.77.1.19:5146
广东卫视,http://113.65.124.131:9527/rtp/239.77.1.152:5146
广东少儿,http://113.65.124.131:9527/rtp/239.77.0.250:5146

广东珠江,http://61.145.188.90:50055/rtp/239.77.0.1:5146
广东珠江,http://61.145.188.90:50055/rtp/239.77.1.94:5146
广东珠江,http://61.145.188.90:50055/rtp/239.77.0.114:5146
广东新闻,http://61.145.188.90:50055/rtp/239.77.0.173:5146
广东民生,http://61.145.188.90:50055/rtp/239.77.0.225:5146
广东体育,http://61.145.188.90:50055/rtp/239.77.0.112:5146
广东体育,http://61.145.188.90:50055/rtp/239.77.0.168:5146
广东体育,http://61.145.188.90:50055/rtp/239.77.1.97:5146
广东影视,http://61.145.188.90:50055/rtp/239.77.0.217:5146
大湾区卫视,http://61.145.188.90:50055/rtp/239.77.0.215:5146
大湾区卫视,http://61.145.188.90:50055/rtp/239.77.1.12:5146
广东卫视,http://61.145.188.90:50055/rtp/239.77.0.84:5146
广东卫视,http://61.145.188.90:50055/rtp/239.77.0.166:5146
广东卫视,http://61.145.188.90:50055/rtp/239.77.1.19:5146
广东卫视,http://61.145.188.90:50055/rtp/239.77.1.152:5146
广东少儿,http://61.145.188.90:50055/rtp/239.77.0.250:5146

广东珠江,http://183.52.221.121:4000/rtp/239.77.0.1:5146
广东珠江,http://183.52.221.121:4000/rtp/239.77.1.94:5146
广东珠江,http://183.52.221.121:4000/rtp/239.77.0.114:5146
广东新闻,http://183.52.221.121:4000/rtp/239.77.0.173:5146
广东民生,http://183.52.221.121:4000/rtp/239.77.0.225:5146
广东体育,http://183.52.221.121:4000/rtp/239.77.0.112:5146
广东体育,http://183.52.221.121:4000/rtp/239.77.0.168:5146
广东体育,http://183.52.221.121:4000/rtp/239.77.1.97:5146
广东影视,http://183.52.221.121:4000/rtp/239.77.0.217:5146
大湾区卫视,http://183.52.221.121:4000/rtp/239.77.0.215:5146
大湾区卫视,http://183.52.221.121:4000/rtp/239.77.1.12:5146
广东卫视,http://183.52.221.121:4000/rtp/239.77.0.84:5146
广东卫视,http://183.52.221.121:4000/rtp/239.77.0.166:5146
广东卫视,http://183.52.221.121:4000/rtp/239.77.1.19:5146
广东卫视,http://183.52.221.121:4000/rtp/239.77.1.152:5146
广东少儿,http://183.52.221.121:4000/rtp/239.77.0.250:5146

广东珠江,http://113.65.124.131:9530/rtp/239.77.0.1:5146
广东珠江,http://113.65.124.131:9530/rtp/239.77.1.94:5146
广东珠江,http://113.65.124.131:9530/rtp/239.77.0.114:5146
广东新闻,http://113.65.124.131:9530/rtp/239.77.0.173:5146
广东民生,http://113.65.124.131:9530/rtp/239.77.0.225:5146
广东体育,http://113.65.124.131:9530/rtp/239.77.0.112:5146
广东体育,http://113.65.124.131:9530/rtp/239.77.0.168:5146
广东体育,http://113.65.124.131:9530/rtp/239.77.1.97:5146
广东影视,http://113.65.124.131:9530/rtp/239.77.0.217:5146
大湾区卫视,http://113.65.124.131:9530/rtp/239.77.0.215:5146
大湾区卫视,http://113.65.124.131:9530/rtp/239.77.1.12:5146
广东卫视,http://113.65.124.131:9530/rtp/239.77.0.84:5146
广东卫视,http://113.65.124.131:9530/rtp/239.77.0.166:5146
广东卫视,http://113.65.124.131:9530/rtp/239.77.1.19:5146
广东卫视,http://113.65.124.131:9530/rtp/239.77.1.152:5146
广东少儿,http://113.65.124.131:9530/rtp/239.77.0.250:5146

广东珠江,http://113.65.124.131:9528/rtp/239.77.0.1:5146
广东珠江,http://113.65.124.131:9528/rtp/239.77.1.94:5146
广东珠江,http://113.65.124.131:9528/rtp/239.77.0.114:5146
广东新闻,http://113.65.124.131:9528/rtp/239.77.0.173:5146
广东民生,http://113.65.124.131:9528/rtp/239.77.0.225:5146
广东体育,http://113.65.124.131:9528/rtp/239.77.0.112:5146
广东体育,http://113.65.124.131:9528/rtp/239.77.0.168:5146
广东体育,http://113.65.124.131:9528/rtp/239.77.1.97:5146
广东影视,http://113.65.124.131:9528/rtp/239.77.0.217:5146
大湾区卫视,http://113.65.124.131:9528/rtp/239.77.0.215:5146
大湾区卫视,http://113.65.124.131:9528/rtp/239.77.1.12:5146
广东卫视,http://113.65.124.131:9528/rtp/239.77.0.84:5146
广东卫视,http://113.65.124.131:9528/rtp/239.77.0.166:5146
广东卫视,http://113.65.124.131:9528/rtp/239.77.1.19:5146
广东卫视,http://113.65.124.131:9528/rtp/239.77.1.152:5146
广东少儿,http://113.65.124.131:9528/rtp/239.77.0.250:5146

广东珠江,http://113.65.124.131:9529/rtp/239.77.0.1:5146
广东珠江,http://113.65.124.131:9529/rtp/239.77.1.94:5146
广东珠江,http://113.65.124.131:9529/rtp/239.77.0.114:5146
广东新闻,http://113.65.124.131:9529/rtp/239.77.0.173:5146
广东民生,http://113.65.124.131:9529/rtp/239.77.0.225:5146
广东体育,http://113.65.124.131:9529/rtp/239.77.0.112:5146
广东体育,http://113.65.124.131:9529/rtp/239.77.0.168:5146
广东体育,http://113.65.124.131:9529/rtp/239.77.1.97:5146
广东影视,http://113.65.124.131:9529/rtp/239.77.0.217:5146
大湾区卫视,http://113.65.124.131:9529/rtp/239.77.0.215:5146
大湾区卫视,http://113.65.124.131:9529/rtp/239.77.1.12:5146
广东卫视,http://113.65.124.131:9529/rtp/239.77.0.84:5146
广东卫视,http://113.65.124.131:9529/rtp/239.77.0.166:5146
广东卫视,http://113.65.124.131:9529/rtp/239.77.1.19:5146
广东卫视,http://113.65.124.131:9529/rtp/239.77.1.152:5146
广东少儿,http://113.65.124.131:9529/rtp/239.77.0.250:5146

广东珠江,http://14.145.179.142:8888/rtp/239.77.0.1:5146
广东珠江,http://14.145.179.142:8888/rtp/239.77.1.94:5146
广东珠江,http://14.145.179.142:8888/rtp/239.77.0.114:5146
广东新闻,http://14.145.179.142:8888/rtp/239.77.0.173:5146
广东民生,http://14.145.179.142:8888/rtp/239.77.0.225:5146
广东体育,http://14.145.179.142:8888/rtp/239.77.0.112:5146
广东体育,http://14.145.179.142:8888/rtp/239.77.0.168:5146
广东体育,http://14.145.179.142:8888/rtp/239.77.1.97:5146
广东影视,http://14.145.179.142:8888/rtp/239.77.0.217:5146
大湾区卫视,http://14.145.179.142:8888/rtp/239.77.0.215:5146
大湾区卫视,http://14.145.179.142:8888/rtp/239.77.1.12:5146
广东卫视,http://14.145.179.142:8888/rtp/239.77.0.84:5146
广东卫视,http://14.145.179.142:8888/rtp/239.77.0.166:5146
广东卫视,http://14.145.179.142:8888/rtp/239.77.1.19:5146
广东卫视,http://14.145.179.142:8888/rtp/239.77.1.152:5146
广东少儿,http://14.145.179.142:8888/rtp/239.77.0.250:5146

广东珠江,http://14.217.222.0:8188/rtp/239.77.0.1:5146
广东珠江,http://14.217.222.0:8188/rtp/239.77.1.94:5146
广东珠江,http://14.217.222.0:8188/rtp/239.77.0.114:5146
广东新闻,http://14.217.222.0:8188/rtp/239.77.0.173:5146
广东民生,http://14.217.222.0:8188/rtp/239.77.0.225:5146
广东体育,http://14.217.222.0:8188/rtp/239.77.0.112:5146
广东体育,http://14.217.222.0:8188/rtp/239.77.0.168:5146
广东体育,http://14.217.222.0:8188/rtp/239.77.1.97:5146
广东影视,http://14.217.222.0:8188/rtp/239.77.0.217:5146
大湾区卫视,http://14.217.222.0:8188/rtp/239.77.0.215:5146
大湾区卫视,http://14.217.222.0:8188/rtp/239.77.1.12:5146
广东卫视,http://14.217.222.0:8188/rtp/239.77.0.84:5146
广东卫视,http://14.217.222.0:8188/rtp/239.77.0.166:5146
广东卫视,http://14.217.222.0:8188/rtp/239.77.1.19:5146
广东卫视,http://14.217.222.0:8188/rtp/239.77.1.152:5146
广东少儿,http://14.217.222.0:8188/rtp/239.77.0.250:5146

广东珠江,http://113.88.72.96:8188/rtp/239.77.0.1:5146
广东珠江,http://113.88.72.96:8188/rtp/239.77.1.94:5146
广东珠江,http://113.88.72.96:8188/rtp/239.77.0.114:5146
广东新闻,http://113.88.72.96:8188/rtp/239.77.0.173:5146
广东民生,http://113.88.72.96:8188/rtp/239.77.0.225:5146
广东体育,http://113.88.72.96:8188/rtp/239.77.0.112:5146
广东体育,http://113.88.72.96:8188/rtp/239.77.0.168:5146
广东体育,http://113.88.72.96:8188/rtp/239.77.1.97:5146
广东影视,http://113.88.72.96:8188/rtp/239.77.0.217:5146
大湾区卫视,http://113.88.72.96:8188/rtp/239.77.0.215:5146
大湾区卫视,http://113.88.72.96:8188/rtp/239.77.1.12:5146
广东卫视,http://113.88.72.96:8188/rtp/239.77.0.84:5146
广东卫视,http://113.88.72.96:8188/rtp/239.77.0.166:5146
广东卫视,http://113.88.72.96:8188/rtp/239.77.1.19:5146
广东卫视,http://113.88.72.96:8188/rtp/239.77.1.152:5146
广东少儿,http://113.88.72.96:8188/rtp/239.77.0.250:5146

广东珠江,http://202.105.239.77:8188/rtp/239.77.0.1:5146
广东珠江,http://202.105.239.77:8188/rtp/239.77.1.94:5146
广东珠江,http://202.105.239.77:8188/rtp/239.77.0.114:5146
广东新闻,http://202.105.239.77:8188/rtp/239.77.0.173:5146
广东民生,http://202.105.239.77:8188/rtp/239.77.0.225:5146
广东体育,http://202.105.239.77:8188/rtp/239.77.0.112:5146
广东体育,http://202.105.239.77:8188/rtp/239.77.0.168:5146
广东体育,http://202.105.239.77:8188/rtp/239.77.1.97:5146
广东影视,http://202.105.239.77:8188/rtp/239.77.0.217:5146
大湾区卫视,http://202.105.239.77:8188/rtp/239.77.0.215:5146
大湾区卫视,http://202.105.239.77:8188/rtp/239.77.1.12:5146
广东卫视,http://202.105.239.77:8188/rtp/239.77.0.84:5146
广东卫视,http://202.105.239.77:8188/rtp/239.77.0.166:5146
广东卫视,http://202.105.239.77:8188/rtp/239.77.1.19:5146
广东卫视,http://202.105.239.77:8188/rtp/239.77.1.152:5146
广东少儿,http://202.105.239.77:8188/rtp/239.77.0.250:5146

广东珠江,http://113.77.240.60:6822/rtp/239.77.0.1:5146
广东珠江,http://113.77.240.60:6822/rtp/239.77.1.94:5146
广东珠江,http://113.77.240.60:6822/rtp/239.77.0.114:5146
广东新闻,http://113.77.240.60:6822/rtp/239.77.0.173:5146
广东民生,http://113.77.240.60:6822/rtp/239.77.0.225:5146
广东体育,http://113.77.240.60:6822/rtp/239.77.0.112:5146
广东体育,http://113.77.240.60:6822/rtp/239.77.0.168:5146
广东体育,http://113.77.240.60:6822/rtp/239.77.1.97:5146
广东影视,http://113.77.240.60:6822/rtp/239.77.0.217:5146
大湾区卫视,http://113.77.240.60:6822/rtp/239.77.0.215:5146
大湾区卫视,http://113.77.240.60:6822/rtp/239.77.1.12:5146
广东卫视,http://113.77.240.60:6822/rtp/239.77.0.84:5146
广东卫视,http://113.77.240.60:6822/rtp/239.77.0.166:5146
广东卫视,http://113.77.240.60:6822/rtp/239.77.1.19:5146
广东卫视,http://113.77.240.60:6822/rtp/239.77.1.152:5146
广东少儿,http://113.77.240.60:6822/rtp/239.77.0.250:5146

